# x_m,y_m,w_tr_right_m,w_tr_left_m
6.7311,5.9000,0.3711,0.3711
6.7311,5.9500,0.3711,0.3711
6.6811,6.0000,0.3882,0.3882
6.6311,6.0500,0.3711,0.3711
6.6311,6.1000,0.3933,0.3933
6.6311,6.1500,0.3780,0.3780
6.6311,6.2000,0.3659,0.3659
6.5811,6.2500,0.3933,0.3933
6.5811,6.3000,0.3780,0.3780
6.5811,6.3500,0.3659,0.3659
6.5811,6.4000,0.3571,0.3571
6.5311,6.4500,0.4017,0.4017
6.5311,6.5000,0.4000,0.4000
6.5311,6.5500,0.4000,0.4000
6.5311,6.6000,0.4000,0.4000
6.5311,6.6500,0.4000,0.4000
6.5811,6.7000,0.3500,0.3500
6.5811,6.7500,0.3500,0.3500
6.5811,6.8000,0.3500,0.3500
6.5811,6.8500,0.3500,0.3500
6.5811,6.9000,0.3500,0.3500
6.5811,6.9500,0.3518,0.3518
6.5811,7.0000,0.3571,0.3571
6.6311,7.0500,0.3171,0.3171
6.6311,7.1000,0.3301,0.3301
6.6311,7.1500,0.3464,0.3464
6.6311,7.2000,0.3659,0.3659
6.6311,7.2500,0.3659,0.3659
6.6311,7.3000,0.3464,0.3464
6.6811,7.3500,0.3780,0.3780
6.6811,7.4000,0.3659,0.3659
6.7311,7.4500,0.3882,0.3882
6.7311,7.5000,0.3659,0.3659
6.7311,7.5500,0.3464,0.3464
6.7811,7.6000,0.3780,0.3780
6.7811,7.6500,0.3659,0.3659
6.8311,7.7000,0.3933,0.3933
6.8311,7.7500,0.3780,0.3780
6.8811,7.8000,0.4116,0.4116
6.9311,7.8500,0.4310,0.4310
6.9311,7.9000,0.4262,0.4262
6.9811,7.9500,0.4278,0.4278
7.0311,8.0000,0.4278,0.4278
7.0811,8.0500,0.4310,0.4310
7.1311,8.1000,0.4132,0.4132
7.1811,8.1500,0.4000,0.4000
7.2311,8.2000,0.3933,0.3933
7.2811,8.2500,0.3933,0.3933
7.3311,8.3000,0.4000,0.4000
7.3811,8.3500,0.4132,0.4132
7.4311,8.4000,0.4278,0.4278
7.4811,8.4500,0.4278,0.4278
7.5311,8.5000,0.4278,0.4278
7.5811,8.5500,0.4278,0.4278
7.6311,8.6000,0.4132,0.4132
7.6811,8.6000,0.4132,0.4132
7.7311,8.6500,0.4278,0.4278
7.7811,8.7000,0.4278,0.4278
7.8311,8.7500,0.4278,0.4278
7.8811,8.8000,0.4278,0.4278
7.9311,8.8500,0.4132,0.4132
7.9811,8.9000,0.4000,0.4000
8.0311,8.9500,0.3933,0.3933
8.0811,9.0000,0.3933,0.3933
8.1311,9.0500,0.3933,0.3933
8.1811,9.1000,0.4000,0.4000
8.2311,9.1500,0.3933,0.3933
8.2811,9.2000,0.3933,0.3933
8.3311,9.2500,0.4000,0.4000
8.3811,9.3000,0.3933,0.3933
8.4311,9.3500,0.3933,0.3933
8.4811,9.4000,0.3933,0.3933
8.5311,9.4500,0.3933,0.3933
8.5811,9.5000,0.3933,0.3933
8.6311,9.5000,0.3933,0.3933
8.6811,9.5500,0.3933,0.3933
8.7311,9.6000,0.3933,0.3933
8.7811,9.6500,0.3933,0.3933
8.8311,9.7000,0.4000,0.4000
8.8811,9.7500,0.3933,0.3933
8.9311,9.8000,0.3933,0.3933
8.9811,9.8500,0.4000,0.4000
9.0311,9.9000,0.4132,0.4132
9.0811,9.9500,0.4278,0.4278
9.1311,10.0000,0.4116,0.4116
9.1811,10.0500,0.3882,0.3882
9.2311,10.0500,0.3933,0.3933
9.2811,10.1000,0.3933,0.3933
9.3311,10.1500,0.3933,0.3933
9.3811,10.2000,0.3933,0.3933
9.4311,10.2500,0.3933,0.3933
9.4811,10.3000,0.3933,0.3933
9.5311,10.3500,0.3933,0.3933
9.5811,10.4000,0.3933,0.3933
9.6311,10.4500,0.3933,0.3933
9.6811,10.5000,0.3933,0.3933
9.7311,10.5500,0.3933,0.3933
9.7811,10.6000,0.3933,0.3933
9.8311,10.6500,0.3882,0.3882
9.8811,10.7000,0.3711,0.3711
9.9311,10.7500,0.3606,0.3606
9.9811,10.8000,0.3571,0.3571
10.0311,10.8000,0.3606,0.3606
10.0811,10.8500,0.3711,0.3711
10.1311,10.9000,0.3711,0.3711
10.1811,10.9500,0.3606,0.3606
10.2311,11.0000,0.3571,0.3571
10.2811,11.0500,0.3606,0.3606
10.3311,11.1000,0.3711,0.3711
10.3811,11.1500,0.3882,0.3882
10.4311,11.2000,0.3933,0.3933
10.4811,11.2500,0.3933,0.3933
10.5311,11.3000,0.3933,0.3933
10.5811,11.3500,0.3882,0.3882
10.6311,11.4000,0.3711,0.3711
10.6811,11.4500,0.3606,0.3606
10.7311,11.5000,0.3464,0.3464
10.7811,11.5500,0.3208,0.3208
10.7811,11.6000,0.3227,0.3227
10.8311,11.6500,0.3208,0.3208
10.8811,11.7000,0.3019,0.3019
10.9311,11.7500,0.2903,0.2903
10.9811,11.8000,0.2864,0.2864
11.0311,11.8500,0.2864,0.2864
11.0811,11.9000,0.2864,0.2864
11.1311,11.9500,0.2864,0.2864
11.1811,12.0000,0.2864,0.2864
11.2311,12.0500,0.2864,0.2864
11.2811,12.0500,0.2864,0.2864
11.3311,12.1000,0.2864,0.2864
11.3811,12.1500,0.2864,0.2864
11.4311,12.2000,0.2864,0.2864
11.4811,12.2500,0.2864,0.2864
11.5311,12.3000,0.2864,0.2864
11.5811,12.3500,0.2864,0.2864
11.6311,12.4000,0.2864,0.2864
11.6811,12.4500,0.2864,0.2864
11.7311,12.5000,0.2864,0.2864
11.7811,12.5500,0.2864,0.2864
11.8311,12.6000,0.2864,0.2864
11.8811,12.6500,0.2864,0.2864
11.9311,12.7000,0.2903,0.2903
11.9811,12.7500,0.3019,0.3019
11.9811,12.8000,0.2765,0.2765
12.0311,12.8500,0.3000,0.3000
12.0311,12.9000,0.2825,0.2825
12.0311,12.9500,0.2685,0.2685
12.0811,13.0000,0.3076,0.3076
12.0811,13.0500,0.3019,0.3019
12.0811,13.1000,0.3000,0.3000
12.1311,13.1500,0.3500,0.3500
12.1311,13.2000,0.3500,0.3500
12.1311,13.2500,0.3500,0.3500
12.1811,13.3000,0.4017,0.4017
12.1811,13.3500,0.4000,0.4000
12.1811,13.4000,0.4017,0.4017
12.2311,13.4500,0.4562,0.4562
12.2311,13.5000,0.4639,0.4639
